company,domain
Lietuvos paštas,post.lt
Omniva,omniva.lt
Venipak,venipak.lt
Venipak,venipak.com
Venipak,go.venipak.com
DPD,dpd.lt
DPD,dpd.com
Swedbank,swedbank.lt
VMI,vmi.lt
SoDra,sodra.lt
SEB,seb.lt
Luminor,luminor.lt
Itella,itella.lt
Itella,smartpost.lt
Lietuvos draudimas,ld.lt
Lietuvos draudimas,savasld.lt
Beta,beta.lt
DPD Lietuva,mydpd.dpd.lt
"Pigu, UAB",pigu.lt
"Varlė, UAB",varle.lt
Regitra,regitra.lt
Regitra,info.regitra.lt
IF draudimas,if.lt
Gjensidige,gjensidige.lt
Ignitis,e.ignitis.lt
Tele2,mano.tele2.lt
Telia,mano.telia.lt
Interneto vizija,iv.lt
Interneto vizija,klientams.iv.lt
Dominos Pizza,dominospizza.lt
